correct	wrong
من وقتی سر موضوعی دو دقیقه خودم با خودم کلنجار میرم از خود اولیم خسته میشم چطور میخوام یکی دیگه رو یه عمر تحمل کنم آخه	من وقتی سره موضوعی دو دقیقه خودم با خودم کلنجار میرم از خوده اولیم خسته میشم چطور میخوام یکی دیگه رو یه عمر تحمل کنم آخه
برخورد پلیس آمریکا با آقای ظریف و مانع شدن برای عیادت ایشان از یک مریض در بیمارستان اوج ذلت دیپلماسی التماسی و غربگرا را به نمایش گذاشته و موجب سرافکندگی ملت عزیز ایران شده است	برخورده پلیسه آمریکا با آقای ظریف و مانع شدن برای عیادته ایشان از یک مریض در بیمارستان اوج ذلت دیپلماسی التماسی و غربگرا را به نمایش گذاشته و موجب سرافکندگی ملت عزیز ایران شده است
امروز خبر بازداشت ب ق اومدسال هاشم یکه زارع مدیر عامل معزول و بازداشتی ایران خودرو چندشکایت از سایتی که مدیر مسئولش بودم کرد در دادسرا کیفرخواست خوردم و البته در تجدیدنظر تبرئه شدمحالا هم شاکی یکه زارع و هم بازپرس پرونده ب ق بازداشتند چقدر زمین گ رده	امروز خبره بازداشته ب ق اومدسال هاشم یکه زارع مدیر عامل معزول و بازداشتی ایران خودرو چندشکایت از سایتی که مدیر مسئولش بودم کرد در دادسرا کیفرخواست خوردم و البته در تجدیدنظر تبرئه شدمحالا هم شاکی یکه زارع و هم بازپرس پرونده ب ق بازداشتند چقدر زمین گ رده
حس میکنم یه دختر سی و سه ساله هستم که شیش ساله با رضا ازدواج کردم امروز صبح صمیمی ترین دوستم پریسا زنگ زد و گفت حتما باید منو ببینه تو کافه باهام قرار گذاشت تا منو دید زد زیر گریه و گفت شیش ماهه با رضا در ارتباطه عاشق هم هستن و دیروز فهمیده از رضا حامله شده گفت تروخدا ببخشمش	حس میکنم ی دختر سی و س سال ستم ک شیش سال با رضا ازدواج کردم امروز صبح صمیمی ترین دوستم پریسا زنگ زد و گفت حتما باید منو ببین تو کاف باام قرار گذاشت تا منو دید زد زیر گری و گفت شیش ما با رضا در ارتباط- عاشق م ستن و دیروز فمید از رضا حامل شد گفت تروخدا ببخشمش
هیچوقت از یک رابطه ی دو نفره هر دو نفر هم زمان خارج نمی شوند همیشه یک نفر می رود و نفر دیگر مدت ها می ماند برای مرتب کردن خاطرات	هیچوقت از یک رابطه یه دو نفره هر دو نفر هم زمان خارج نمی شوند همیشه یک نفر می رود و نفره دیگر مدت ها می ماند برای مرتب کردن خاطرات
چه ماهی به دنیا اومدین خودم آذر	چ- مای ب دنیا اومدین خودم آذر
دوره ما کسی دل کندن بلد نبود حتی موقعی که از پیشتون رفت اتفاقا اصلش اونجاست وقتی مردت میره و تو دل نمیکنی پشیمون نیستی این همه سختی و تنهایی تا سختی و تنهایی رو چی بدونی مانکن	دور- ما کسی دل کندن بلد نبود حتی موقعی ک از پیشتون رفت اتفاقا اصلش اونجاست وقتی مردت میر و تو دل نمیکنی پشیمون نیستی این م سختی و تنایی تا سختی و تنایی رو چی بدونی مانکن
آقای دکتر احمدی نژاد خیلی خیلی دوست دارم وقبول دارم سالها روزی ساعت کار کردم هزینه کردم تصادف کردم گوش چشم دندان و عمر گذاشتم وخداروشکر ریالی هم نگرفتم ولی باتوجه به رفتار بعضی اشخاص که بنظرحقیر در تضاد با انقلاب است قویا اعلام میکنم بهاری نبوده ونیستم لال میمیرم و میروم	آقای دکتر احمدی نژاد خیلی خیلی دوست دارم وقبول دارم سالها روزی ساعت کار کردم هزینه کردم تصادف کردم گوش چشم دندان و عمر گذاشتم وخداروشکر ریالی هم نگرفتم ولی باتوجه به رفتاره بعضی اشخاص که بنظرحقیر در تضاد با انقلاب است قویا اعلام میکنم بهاری نبوده ونیستم لال میمیرم و میروم
اخه درباره زیبایی این پرنده آدم چی بگه وقتی این زیبایی مخلوقات رو میبینی یاد خدا میافتی که در قرآن میفرماید به پیرامون خودتون نگاه کنید و تفکر بکنید و من رو بشناسینخدایا سپاس بی منتها تو را که از نابود محض بود دو عالم غیب و شهادت را رقم زدیادم محو این زیبایی میشه	اخه دربارهه زیباییه این پرنده آدم چی بگه وقتی این زیبایی مخلوقات رو میبینی یاده خدا میافتی که در قرآن میفرماید به پیرامون خودتون نگاه کنید و تفکر بکنید و من رو بشناسینخدایا سپاس بی منتها تو را که از نابود محض بود دو عالم غیب و شهادت را رقم زدیادم محو این زیبایی میشه
علاوه بر کله گنده ای مثل حسین فریدون که یه زمانی حسن شون میگفت اگه دست بهش بزنید اعلام جنگ میکنم بیژن قاسم زاده که بازپرس دادسرای فرهنگ و رسانه بوده هم دستگیر شد تا رئیسی برای چندمین بار ثابت کنه هیچ خط قرمز مبارزه با فسادی نداره حتی با زیرمجموعه خودشنمادواقعی انقلابی تمام عیار	علاو بر کل گند ای مثل حسین فریدون ک ی- زمانی حسن شون میگفت اگ دست بش بزنید اعلام جنگ میکنم بیژن قاسم زاد ک بازپرس دادسرای فرنگ و رسان بود م دستگیر شد تا رئیسی برای چندمین بار ثابت کن یچ خط قرمز مبارز با فسادی ندار حتی با زیرمجموع خودشنمادواقعی انقلابی تمام عیار
قابل توجه غربگدایان افسادطلب ترسو نشریه سیاست خارجی در تحلیلی دقیق ضمن اعتراف به اقتدار دفاعی جمهوری اسلامی ایران علل عدم توانایی نیروی دریایی آمریکا برای جنگیدن با ایران را بررسی کرده است	قابل توجه غربگدایانه افسادطلبه ترسو نشریه سیاست خارجی در تحلیلی دقیق ضمنه اعتراف به اقتدار دفاعی جمهوری اسلامی ایران علل عدم توانایی نیروی دریایی آمریکا برای جنگیدن با ایران را بررسی کرده است
قاتلان مصطفی کریم بیگی مادر او شهناز اکملی را به سال حبس سال ممنوع الخروجی سال ممنوعيت عضويت در فضای مجازی و دسته جات سياسی محكوم کرده اند این حکم نشانه ی هراس جمهوری اسلامی از زنی است که سال است به دادخواهی فرزندش شجاعانه ایستاده است	قاتلانه مصطفی کریم بیگی مادره او شهنازه اکملی را به سال حبس سال ممنوع الخروجی سال ممنوعيت عضويت در فضای مجازی و دسته جات سياسی محكوم کرده اند این حکم نشانه ی هراس جمهوری اسلامی از زنی است که سال است به دادخواهی فرزندش شجاعانه ایستاده است
بچه هفت سال دارد پدرش قصاب است با مادرش اختلاف دارند مادر قهر کرده رفته خونه پدری بچه رو گذاشته پیش پدر پدر بچه رو با خودش برده مغازه با گوشت چرخ بازی کرده دستش رو تا آرنج قطع کرده به قول معروف بکند مادر و پدربکشد رود بی خبرپ ن رود یعنی فرزند	بچه هفت سال دارد پدرش قصاب است با مادرش اختلاف دارند مادر قهر کرده رفته خونه پدری بچه رو گذاشته پیشه پدر پدر بچه رو با خودش برده مغازه با گوشت چرخ بازی کرده دستش رو تا آرنج قطع کرده به قول معروف بکند مادر و پدربکشد رود بی خبرپ ن رود یعنی فرزند
ایشون محسن سازگارا هستند بنیانگذار سپاه و تئوریسین تجزیه ی ایران جناب کلاشی بدرستی اشاره کردند که این جماعت ایران را یک بار گذار داده اند به وضعیت فعلی الان باید در دادگاه محاکمه شوند و به زباله دان تاریخ رهنمون گردند شورای گذار از ایران	ایشون محسنه سازگارا هستند بنیانگذاره سپاه و تئوریسین تجزیه ی ایران جناب کلاشی بدرستی اشاره کردند که این جماعت ایران را یک بار گذار داده اند به وضعیت فعلی الان باید در دادگاه محاکمه شوند و به زباله دان تاریخ رهنمون گردند شورای گذار از ایران
راز بقای امام حسین ع این است که نهضتش از یک سو منطقی و عقلانی است و از سوی دیگر در عمق احساسات و عواطف راه یافته است حب الحسین یجمعنا حب الحسین یجمعنا	رازه بقایه امام حسین ع این است که نهضتش از یک سو منطقی و عقلانی است و از سویه دیگر در عمق احساسات و عواطف راه یافته است حب الحسین یجمعنا حب الحسین یجمعنا
ای دل غمگین به استقبال زیبایی بیاکاروانی را که روی نیزه ها برگشته است	ای دله غمگین به استقباله زیبایی بیاکاروانی را که رویه نیزه ها برگشته است
اگه معنی این گروگان گیری نیست پس چیه سعید شیرزاد وقتی احتیاج به پزشک داشت دریغ کردن وقتی مادر احتیاج به لمس دستان گرمش داشت ازش گرفتن این لحظه رو و حالا سردی یک جای خالی و حسرت ندیدن را بهش بخشیدن لعنت لعنت	اگ معنی این گروگان گیری نیست پس چی- سعید شیرزاد وقتی احتیاج ب پزشک داشت دریغ کردن وقتی مادر احتیاج ب لمس دستان گرمش داشت ازش گرفتن این لحظ رو و حالا سردی یک جای خالی و حسرت ندیدن را بش بخشیدن لعنت لعنت
قانون بانک های آلمان اینه که به خانم های بالای سال وام نمی دن فکر می کنید چرا اگه دلیلش رو بشنوید می فهمید که این اروپایی ها چقدر آدم های فرهیخته و باکلاسی هستن اون وقت ما این ویدئو رو ببینید حتما	قانون بانک ای آلمان این- ک ب خانم ای بالای سال وام نمی دن فکر می کنید چرا اگ دلیلش رو بشنوید می فمید ک این اروپایی ا چقدر آدم ای فریخت و باکلاسی ستن اون وقت ما این ویدئو رو ببینید حتما
امام خمینی ره انسجام نیروهاى نظامى را ضامن اقـتـدار نیروهاى مسلح در دفاع مقدس مى دانست از این رو امام به نیروهاى ارتش سپاه و بسیج فرمود هـمـه در هـم ذوب شـوید و تو و من را از میان بردارید و چون ید واحده و قدرت واحده به دشمن بتازید خمینی حقیقت زنده	امام خمینی ره انسجامه نیروهاىه نظامى را ضامنه اقـتـدار نیروهاى مسلح در دفاع مقدس مى دانست از این رو امام به نیروهاى ارتش سپاه و بسیج فرمود هـمـه در هـم ذوب شـوید و تو و من را از میان بردارید و چون ید واحده و قدرت واحده به دشمن بتازید خمینی حقیقت زنده
ما بر آنیم که این ذکر جهانی بشود اللهم عجل لولیک الفرج	ما بر آنیم که این ذکر جهانی بشود اللهم عجل لولیک الفرج
یه قیمه خیلی خوب حتی میتونه از قرمه سبزی هم بهتر باشه	ی- قیم خیلی خوب حتی میتون از قرم سبزی م بتر باش
گروه تروریستی طالبان دیروز به دگروال سبحان الله حیران مربی تقاعد شده آکادمی پولیس ننگرهار حمله وحشیانه کرده و او را به شهادت رساند طالبان به حملات بزدلانه خود ضد سربازان وطن پرست افغانستان ادامه میدهند قول اردوی سیلاب این عمل را بشدت محکوم میکند	گروهه تروریستیه طالبان دیروز به دگروال سبحان الله حیران مربیه تقاعد شده آکادمی پولیس ننگرهار حمله وحشیانه کرده و او را به شهادت رساند طالبان به حملات بزدلانه خود ضد سربازان وطن پرست افغانستان ادامه میدهند قول اردوی سیلاب این عمل را بشدت محکوم میکند
تمامیت ارضی وحدت و یکپارچگی ملی و درفش سه رنگ شیر و خورشید نشان خط قرمز است همزمان ایران به همه ایرانیان تعلق دارد فارغ از زبان و دین و مذهب یک زن بلوچ یا کرد یا عرب سنی یا شیعه یا بی دین همان اندازه در ایران حق دارد که مرد شیعه تهرانی	تمامیته ارضی وحدت و یکپارچگیه ملی و درفشه سه رنگه شیر و خورشید نشان خط قرمز است همزمان ایران به همه ایرانیان تعلق دارد فارغ از زبان و دین و مذهب یک زن بلوچ یا کرد یا عرب سنی یا شیعه یا بی دین همان اندازه در ایران حق دارد که مرد شیعه تهرانی
از خودم می پرسم چرا فلانی اینهمه موفق تر از منه می بینم اون زمان هایی که داشته برای موفقیت تا پای جان تلاش می کرده و با تمامیت روی اهدافش متمرکز بوده من در معیت دوستام در حال انتخاب غذا و رستوران و بحث درمورد چالش بنیادین فست فود یا کباب بوده ام	از خودم می پرسم چرا فلانی اینم موفق تر از من- می بینم اون زمان ایی ک داشت برای موفقیت تا پای جان تلاش می کرد و با تمامیت روی ادافش متمرکز بود من در معیت دوستام در حال انتخاب غذا و رستوران و بحث درمورد چالش بنیادین فست فود یا کباب بود ام
توییتای بقیه رو که ریتوییت میکنم بیشتر از توییتای خودم فیو میخوره معلومه با من مشکل دارید	توییتای بقی رو ک ریتوییت میکنم بیشتر از توییتای خودم فیو میخور معلوم- با من مشکل دارید
مانجی یه سامورایی فناناپذیره که با عمر جاویدان نفرین شده و چون از زندگی کردن خسته شده از جادوگری که اینطور جادوش کرده میخواد که در ازای کشتن آدم خلافکار جادوی فناناپذیری رو ازش ساقط کنه به نظر انیمه قشنگی میاد خشونتش خیلی بالاست منو یاد دورورو میندازه	مانجی ی سامورایی فناناپذیر- ک با عمر جاویدان نفرین شد و چون از زندگی کردن خست شد از جادوگری ک اینطور جادوش کرد میخواد ک در ازای کشتن آدم خلافکار جادوی فناناپذیری رو ازش ساقط کن ب نظر انیم قشنگی میاد خشونتش خیلی بالاست منو یاد دورورو مینداز
بیژن قاسم زاده از عناصر فشار بر علاقه مندان به دکتر احمدی نژاد و صادر کننده دستور فیلترینگ تلگرام به اتهام فساد دستگیر شدیاد وعده مهندس مشایی می افتم که وقتی در اوج اقتدار آیت الله صادق لاریجانی چنین وعده ای داد برای برخی چقدر دور می نمود	بیژنه قاسم زاده از عناصره فشار بر علاقه مندان به دکتر احمدی نژاد و صادر کننده دستوره فیلترینگ تلگرام به اتهام فساد دستگیر شدیاد وعده مهندس مشایی می افتم که وقتی در اوج اقتدار آیت الله صادق لاریجانی چنین وعده ای داد برای برخی چقدر دور می نمود
دیدین چجوری از همدیگه حمایت میکنن براتون چنین دوستایی رو آرزو میکنم	دیدین چجوری از همدیگه حمایت میکنن براتون چنین دوستایی رو آرزو میکنم
تهیه کننده سریال موسی تایید کرد هزینه دکورهای این سریال تا میلیارد هزینه خواهد بود میلیارد به دلیل عدم تسلط دوستان به دانش روز فیلمسازی آیا افکارعمومی نمی تواند جلوی این حیف و میل بیت المال را بگیرد به چه درد می خورد	تهیه کننده سریاله موسی تایید کرد هزینه دکورهایه این سریال تا میلیارد هزینه خواهد بود میلیارد به دلیله عدم تسلط دوستان به دانش روز فیلمسازی آیا افکارعمومی نمی تواند جلوی این حیف و میل بیت المال را بگیرد به چه درد می خورد
کاش ذره ای از ایمان این بزرگ مرد رو دولت مردان کوچیک ما داشتن دنیارو به زانو در می آوردیم نصر من الله دولت لیبرال	کاش ذره ای از ایمانه این بزرگ مرد رو دولت مردانه کوچیک ما داشتن دنیارو به زانو در می آوردیم نصر من الله دولت لیبرال
انگار دنبال بهونه میگردیم از هم دست بکشیم	انگار دنباله بهونه میگردیم از هم دست بکشیم
اکثر مردم بعد از اینکه جواب آزمایششو گرفت و سالم بود بگه این همه ولخرجی کردیم و هیچیمونم نبود	اکثره مردم بعد از اینکه جوابه آزمایششو گرفت و سالم بود بگه این همه ولخرجی کردیم و هیچیمونم نبود
محمد عزیزی نماینده ابهر که به دلیل معاونت در اخلال بازار خودرو بازداشت شده و با قید وثیقه آزاد شده بود دیروز به عنوان اعضای هیات تحقیق و تفحص از عملکرد سازمان گسترش و نوسازی صنایع ایران انتخاب شد به چنین مجلس و بر کر و فرش باید ایرج میرزا	محمده عزیزی نماینده ابهر که به دلیله معاونت در اخلال بازار خودرو بازداشت شده و با قید وثیقه آزاد شده بود دیروز به عنوان اعضای هیات تحقیق و تفحص از عملکرد سازمان گسترش و نوسازی صنایع ایران انتخاب شد به چنین مجلس و بر کر و فرش باید ایرج میرزا
تا که پرسیدم ز قلبم عشق چیست در جوابم اینچنین گفت و گریست لیلی و مجنـون فقـط افسانه اند عشق در دست حسین بن علی ست صلی الله علیک یا ابا عبدالله حب الحسین یجمعنا	تا که پرسیدم زه قلبم عشق چیست در جوابم اینچنین گفت و گریست لیلی و مجنـون فقـط افسانه اند عشق در دسته حسین بن علی ست صلی الله علیک یا ابا عبدالله حب الحسین یجمعنا
نسل اینایی که جای ایموجی خنده خخخخ میذارن نمیخواد منقرض شه	نسله اینایی که جایه ایموجی خنده خخخخ میذارن نمیخواد منقرض شه
با دختری ازدواج کنید که ارث و میراث خوبی گیرش میاد گور پدر جاج از اینا چیزا نترسید زندگی خیلی سختتر از این حرفاست از ما گفتن بود	با دختری ازدواج کنید که ارث و میراثه خوبی گیرش میاد گوره پدره جاج از اینا چیزا نترسید زندگی خیلی سختتر از این حرفاست از ما گفتن بود
بیژن قاسم زاده بازپرس دادسرای رسانه کسی که دستور فیلتر تلگرام را داد بازداشت شد بازداشت این فرد در راستای برخورد با فساد در درون قوه قضائیه صورت گرفته است فساد لزوما اقتصادی نیست برخی از حوزه های مرتبط با رسانه بعضا فسادخیز تر از دیگر حوزه ها بوده و حتی آسیب بیشتری هم دارد	بیژن قاسم زاده بازپرسه دادسرایه رسانه کسی که دستور فیلتر تلگرام را داد بازداشت شد بازداشت این فرد در راستای برخورد با فساد در درون قوه قضائیه صورت گرفته است فساد لزوما اقتصادی نیست برخی از حوزه های مرتبط با رسانه بعضا فسادخیز تر از دیگر حوزه ها بوده و حتی آسیب بیشتری هم دارد
حرف مخالفان جمهوری اسلامی هم دقیقا همین است اینکه هر جنبنده سیاسی دیگری هم غیر دوستان شما به آن مجلس و این دولت برود کاری از دستش برنمی آید اساسا مساله این است که در ساختار جمهوری اسلامی این نهادها سمبلیک اند مطلقا هیچکاره هیچ گشایشی هرچند اندک از مسیر این نهادها ممکن نیست	حرفه مخالفانه جمهوریه اسلامی هم دقیقا همین است اینکه هر جنبنده سیاسی دیگری هم غیر دوستان شما به آن مجلس و این دولت برود کاری از دستش برنمی آید اساسا مساله این است که در ساختار جمهوری اسلامی این نهادها سمبلیک اند مطلقا هیچکاره هیچ گشایشی هرچند اندک از مسیر این نهادها ممکن نیست
بی شک دنیا جای بهتری بود اگه میشد به بچه گربه ها یاد داد ظرفارو بشورن و خونه رو تمیز کنن	بی شک دنیا جایه بهتری بود اگه میشد به بچه گربه ها یاد داد ظرفارو بشورن و خونه رو تمیز کنن
گاهی رسانه های جهان جشن گوجه فرنگی در جایی و مسخره بازی و شوخی ها را پوشش می دهند ولی این حرکت عظیم راهپیمایی اربعین را که در تاریخ بشر سابقه نداشته را پوشش نمی دهند با همه اینها این تجمع عظیم برکات و تاثیرگذاری خود را در جهان دارد حب الحسین یجمعنا	گاهی رسانه هایه جهان جشنه گوجه فرنگی در جایی و مسخره بازی و شوخی ها را پوشش می دهند ولی این حرکته عظیم راهپیمایی اربعین را که در تاریخ بشر سابقه نداشته را پوشش نمی دهند با همه اینها این تجمع عظیم برکات و تاثیرگذاری خود را در جهان دارد حب الحسین یجمعنا
درست وقتی داری تو آتیش میسوزی همه به بهونه آب آوردن تنهات میزارن	درست وقتی داری تو آتیش میسوزی م ب- بون آب آوردن تنات میزارن
حالا که قاسم زاده را گرفتند همه شیر شده اند و نعره می کشنداگر جرئت دارید الآن علیه اژه ای سخنی بگویید	حالا که قاسم زاده را گرفتند همه شیر شده اند و نعره می کشنداگر جرئت دارید الآن علیهه اژه ای سخنی بگویید
حقوق بشر اسلامی تنها در دو مولفه با حقوق بشر دیگر کشورها متفاوت است حقوق و بشر	حقوقه بشره اسلامی تنها در دو مولفه با حقوق بشر دیگر کشورها متفاوت است حقوق و بشر
شما هم از این خاله های پر حرف و پر چونه دارید که تقریبا دو سه روز یه بار زنگ میزنن خونتون و نزدیک یک ساعت با مامانتون حرف میزنن انگار که هر کدوم تو یه قاره جداگانه از هم زندگی میکنن و هر سال یکبار همو میبینن	شما م از این خال ای پر حرف و پر چون دارید ک تقریبا دو س روز ی- بار زنگ میزنن خونتون و نزدیک یک ساعت با مامانتون حرف میزنن انگار ک ر کدوم تو ی قار جداگان از م زندگی میکنن و ر سال یکبار مو میبینن
زینب س با خطبه ای از غربت در میان هلهله زنان شام گل گریه کاشت وبا پیام رسانی خود نشان داد که کربلا در کربلا می ماند اگر زینب نبود حب الحسین یجمعنا	زینب س با خطبه ای از غربت در میانه هلهله زنانه شام گل گریه کاشت وبا پیام رسانی خود نشان داد که کربلا در کربلا می ماند اگر زینب نبود حب الحسین یجمعنا
فوری بیژن قاسم زاده بازپرسی که دستور فیلتر تلگرام را داده بود امروز به جرم فساد راهی زندان شد قاسم زاده بیش از صدنفر رابه جرم ارتباط با آمد نیوز بازداشت و راهی زندانها کرده بود گله گرگها به جان هم افتاده اند	فوری بیژنه قاسم زاده بازپرسی که دستوره فیلتره تلگرام را داده بود امروز به جرم فساد راهی زندان شد قاسم زاده بیش از صدنفر رابه جرم ارتباط با آمد نیوز بازداشت و راهی زندانها کرده بود گله گرگها به جان هم افتاده اند
اربعین حب الحسین یجمعنا زیر سقف آسمان خاکی که از روی نیازمی توان مرد از برایش خاک پاک کربلاست	اربعین حب الحسین یجمعنا زیره سقفه آسمان خاکی که از روی نیازمی توان مرد از برایش خاکه پاک کربلاست
ثبت نام کنید ولی احتمال اینکه اسم شما در بیاد خیلی کم است مخصوص برادران	ثبته نام کنید ولی احتماله اینکه اسم شما در بیاد خیلی کم است مخصوص برادران
خود ریچارد داروین در پایان عمر در وصیت نامه خود استغفار کرد و نوشت از موساد پول گرفته بوده تا این حرفها را بنویسد آنوقت عده ای آتیسم میگویند تکامل من به تو می گویم تو غلط کردی میمان مومن تکامل نا پذیر است	خوده ریچارد داروین در پایانه عمر در وصیت نامه خود استغفار کرد و نوشت از موساد پول گرفته بوده تا این حرفها را بنویسد آنوقت عده ای آتیسم میگویند تکامل من به تو می گویم تو غلط کردی میمان مومن تکامل نا پذیر است
با این آلبوم برای صد سال آینده ی زندگیم اهنگ برای گوش دادن دارم	با این آلبوم برایه صد ساله آینده ی زندگیم اهنگ برای گوش دادن دارم
حاجی رسوندیمش ویئو با ویئو قبلی سید ما مثل یه دختر میمونیم که شدیدا بهت دلباختیم هرکاری از دستمون بر میاد باوجود شرایط سخت توی ایران برای برگشتنت میکنیم عشقمونی ری استارت تنها راه نجات	حاجی رسوندیمش ویئو با ویئو قبلی سید ما مثله یه دختر میمونیم که شدیدا بهت دلباختیم هرکاری از دستمون بر میاد باوجوده شرایط سخت توی ایران برای برگشتنت میکنیم عشقمونی ری استارت تنها راه نجات
هری به نظرم مردها و زنها هیچوقت نمیتونن صرفا دوست عادی باشن مخصوصا اگر اون زن جذاب باشه حقیقت تلخه	ری ب نظرم مردا و زنا یچوقت نمیتونن صرفا دوست عادی باشن مخصوصا اگر اون زن جذاب باش حقیقت تلخ-
الان رسید به نفر که مطمئن شدم آقا هستن ولی اکانت خانم دارن و خودشونو خانم جا زدن یعنی چی جالبه تو این نفر چندتا دکتر و مهندس هم داریم حاجی جان مولا وا بده توروخدا داشت یادم میرفت سلام ما معمولیا رو برسونید به اکانت اصلیاتون عاره و خلاصه اینا	الان رسید ب نفر ک مطمئن شدم آقا ستن ولی اکانت خانم دارن و خودشونو خانم جا زدن یعنی چی جالب- تو این نفر چندتا دکتر و مندس م داریم حاجی جان مولا وا بد توروخدا داشت یادم میرفت سلام ما معمولیا رو برسونید ب اکانت اصلیاتون عار و خلاص اینا
یه جوری خسته از خواب بیدار شدم که انکار دیشب تا صبح تو معدن کار میکردم	ی- جوری خست از خواب بیدار شدم ک انکار دیشب تا صبح تو معدن کار میکردم
شجاع خليل زاده كه دو جلسه محروم شده يكي از دليلاش تحريك هواداراي استقلال بودهتوجه شما رو به اين فيلم جلب ميكنم كه شجاع خليل زاده درحال تحريك هواداراي تيم سوگولي ست	شجاع خليل زاده كه دو جلسه محروم شده يكي از دليلاش تحريكه هوادارايه استقلال بودهتوجه شما رو به اين فيلم جلب ميكنم كه شجاع خليل زاده درحال تحريك هواداراي تيم سوگولي ست
با این آلبوم برای صد سال آینده ی زندگیم اهنگ برای گوش دادن دارم	با این آلبوم برای صد ساله آینده یه زندگیم اهنگ برای گوش دادن دارم
تو رابطه هاتون باهم حرف بزنین ناراحت شدین حرف بزنین دلتون تنگ شد حرف بزنین براتون سوالی پیش اومد بهش بگین نریزید تو خودتون به خدا کسی علم غیب نداره سعی کنین یاد بگیرین درداتونو بهم بگین غرور مال الان نیست غرور مال غریبه هاست نزارید ازش یه پشیمونی بمونه فقط	تو رابط اتون بام حرف بزنین ناراحت شدین حرف بزنین دلتون تنگ شد حرف بزنین براتون سوالی پیش اومد بش بگین نریزید تو خودتون ب- خدا کسی علم غیب ندار سعی کنین یاد بگیرین درداتونو بم بگین غرور مال الان نیست غرور مال غریب است نزارید ازش ی پشیمونی بمون فقط
عبادت از سر وحشت واسه عاشق عبادت نیست پرستش راه تسکینه پرستیدن تجارت نیست	عبادت از سر وحشت واس عاشق عبادت نیست پرستش را تسکین- پرستیدن تجارت نیست
خودم را ریتوییت میکنم تا مشت محکمی باشد به دهان ترامپ و تیم	خودم را ریتوییت میکنم تا مشته محکمی باشد به دهانه ترامپ و تیم
فیلم کوتاه جرأت تغییر ما را به مقابله با ترس هایمان دعوت میکند سکانس هایی که هر کدام بیانگر وضع ما در دنیای امروزی است شیفت شب	فیلمه کوتاهه جرأته تغییر ما را به مقابله با ترس هایمان دعوت میکند سکانس هایی که هر کدام بیانگر وضع ما در دنیای امروزی است شیفت شب
سلیقه هر کس تو موسیقی با بقیه فرق داره پس تو حقی نداری سلیقه ی کسی رو مسخره کنی	سلیقهه هر کس تو موسیقی با بقیه فرق داره پس تو حقی نداری سلیقه یه کسی رو مسخره کنی
دم نظام مقدس جمهوری اسلامی گرم که در زمان ریاست جمهوری یک برادر به جرائم برادر دیگر رسیدگی کرد و به زندان محکومش کرد حسین فریدون	دمه نظامه مقدسه جمهوریه اسلامی گرم که در زمان ریاست جمهوری یک برادر به جرائم برادر دیگر رسیدگی کرد و به زندان محکومش کرد حسین فریدون
امیدوارم این آلبوم بترکونه همونطور که لیاقت پسرمونه	امیدوارم این آلبوم بترکون- مونطور ک لیاقت پسرمون
مسیح علینژاد طفل شیرین خاتمی و فعال حقوق بشر از تیم اپوزیسیون گلخانه ای که در کارگاه الترناتیو سازی رژیم به بیرون صادر شده است را دارند بعنوان قهرمان زنان جا اندازی می کنند تا اراده عموم را برای انقلاب ساختاری برهم زنند اما براندازان و مردم فریب چنین بازی های را نمیخورند	مسیح علینژاد طفله شیرینه خاتمی و فعال حقوق بشر از تیمه اپوزیسیون گلخانه ای که در کارگاه الترناتیو سازی رژیم به بیرون صادر شده است را دارند بعنوان قهرمان زنان جا اندازی می کنند تا اراده عموم را برای انقلاب ساختاری برهم زنند اما براندازان و مردم فریب چنین بازی های را نمیخورند
رابین رایت در نیویورکر نوشته در حاشیه نشست سازمان ملل امانوئل مکرون رئیس جمهور فرانسه یک قرار تلفنی سه طرفه با رییس جمهور ایران و رییس جمهور آمریکا گذاشته بود دونالد ترامپ ساعت شب سر قرار وصل شد حسن روحانی برگشته بود اتاقش و پیدایش نشد	رابین رایت در نیویورکر نوشته در حاشیه نشسته سازمانه ملل امانوئل مکرون رئیس جمهوره فرانسه یک قرار تلفنی سه طرفه با رییس جمهور ایران و رییس جمهور آمریکا گذاشته بود دونالد ترامپ ساعت شب سر قرار وصل شد حسن روحانی برگشته بود اتاقش و پیدایش نشد
پلیس جمهوری سوسیالیستی چین هستن که از عوامل فریب خورده ی استکبار به عنوان سپر استفاده میکنن مرگ بر آمریکا	پلیسه جمهوریه سوسیالیستی چین هستن که از عوامله فریب خورده ی استکبار به عنوان سپر استفاده میکنن مرگ بر آمریکا
رییسی گفته دست مفسدین رو نه از مچ بلکه از بازو قطع میکنیم امروزم با حکم حسین فریدون بازوی کسی قطع شد که قبلا گفته بود اگه دست به بازوم بزنین اعلان جنگ میکنم	رییسی گفته دسته مفسدین رو نه از مچ بلکه از بازو قطع میکنیم امروزم با حکمه حسین فریدون بازوی کسی قطع شد که قبلا گفته بود اگه دست به بازوم بزنین اعلان جنگ میکنم
حسین فریدون برادر رییس جمهور به اتهام دریافت رشوه به سال حبس محکوم گردید رئیسی مچکریم	حسین فریدون برادره رییس جمهور به اتهامه دریافته رشوه به سال حبس محکوم گردید رئیسی مچکریم
نمیدونم بعضیا چطوری عاشق میشن وقتی بیشتر از یه سلام علیک برخورد دیگه ای با طرف نداشتن	نمیدونم بعضیا چطوری عاشق میشن وقتی بیشتر از ی- سلام علیک برخورد دیگ ای با طرف نداشتن
